scheme,mixture_domain,q_score,mapping_basis,mapping_type
S1,arxiv,0.415793678733647,arxiv:1.00,direct
S1,dm_mathematics,0.45243530266999465,arxiv:0.55+stackexchange:0.45,inferred
S1,enron_emails,0.5027902794322578,commoncrawl:0.80+stackexchange:0.20,inferred
S1,europarl,0.4732874392664801,wikipedia:0.60+commoncrawl:0.40,inferred
S1,freelaw,0.38135918607997876,book:0.55+arxiv:0.45,inferred
S1,github,0.3841690555454533,github:1.00,direct
S1,gutenberg_pg_19,0.353185510272432,book:1.00,near_direct
S1,hackernews,0.5003530676758424,stackexchange:0.55+commoncrawl:0.45,inferred
S1,nih_exporter,0.4758620669829814,wikipedia:0.55+commoncrawl:0.45,inferred
S1,philpapers,0.3938808197722218,arxiv:0.65+book:0.35,inferred
S1,pile_cc,0.5041829718644951,commoncrawl:1.00,near_direct
S1,pubmed_abstracts,0.42132818955377044,arxiv:0.85+wikipedia:0.15,inferred
S1,pubmed_central,0.4231730264938116,arxiv:0.80+wikipedia:0.20,inferred
S1,stackexchange,0.4972195097033084,stackexchange:1.00,direct
S1,ubuntu_irc,0.45199932804016635,stackexchange:0.60+github:0.40,inferred
S1,uspto_backgrounds,0.390750411349161,arxiv:0.60+book:0.40,inferred
S1,wikipedia_en,0.4526904175344701,wikipedia:1.00,near_direct
S2,arxiv,0.2603285791678451,arxiv:1.00,direct
S2,dm_mathematics,0.37611281750776476,arxiv:0.55+stackexchange:0.45,inferred
S2,enron_emails,0.5985845790467367,commoncrawl:0.80+stackexchange:0.20,inferred
S2,europarl,0.5457880291290681,wikipedia:0.60+commoncrawl:0.40,inferred
S2,freelaw,0.23000882020125404,book:0.55+arxiv:0.45,inferred
S2,github,0.1356314947934354,github:1.00,direct
S2,gutenberg_pg_19,0.2052017446831341,book:1.00,near_direct
S2,hackernews,0.5631655885968657,stackexchange:0.55+commoncrawl:0.45,inferred
S2,nih_exporter,0.5518743602150582,wikipedia:0.55+commoncrawl:0.45,inferred
S2,philpapers,0.24103418709819624,arxiv:0.65+book:0.35,inferred
S2,pile_cc,0.6188240021609486,commoncrawl:1.00,near_direct
S2,pubmed_abstracts,0.2958438993588405,arxiv:0.85+wikipedia:0.15,inferred
S2,pubmed_central,0.3076823394225056,arxiv:0.80+wikipedia:0.20,inferred
S2,stackexchange,0.5176268865898888,stackexchange:1.00,direct
S2,ubuntu_irc,0.36482872987130743,stackexchange:0.60+github:0.40,inferred
S2,uspto_backgrounds,0.23827784537396068,arxiv:0.60+book:0.40,inferred
S2,wikipedia_en,0.4970973804411477,wikipedia:1.00,near_direct
S3,arxiv,0.4433251929223943,arxiv:1.00,direct
S3,dm_mathematics,0.479959749985571,arxiv:0.55+stackexchange:0.45,inferred
S3,enron_emails,0.5212368787189932,commoncrawl:0.80+stackexchange:0.20,inferred
S3,europarl,0.49459383948076585,wikipedia:0.60+commoncrawl:0.40,inferred
S3,freelaw,0.398827862822883,book:0.55+arxiv:0.45,inferred
S3,github,0.3934946020455483,github:1.00,direct
S3,gutenberg_pg_19,0.3624209563778283,book:1.00,near_direct
S3,hackernews,0.5227674466610696,stackexchange:0.55+commoncrawl:0.45,inferred
S3,nih_exporter,0.4967412085629002,wikipedia:0.55+commoncrawl:0.45,inferred
S3,philpapers,0.4150087101317962,arxiv:0.65+book:0.35,inferred
S3,pile_cc,0.520362268466378,commoncrawl:1.00,near_direct
S3,pubmed_abstracts,0.44843864700758884,arxiv:0.85+wikipedia:0.15,inferred
S3,pubmed_central,0.4501431317026537,arxiv:0.80+wikipedia:0.20,inferred
S3,stackexchange,0.5247353197294535,stackexchange:1.00,direct
S3,ubuntu_irc,0.47223903265589146,stackexchange:0.60+github:0.40,inferred
S3,uspto_backgrounds,0.4109634983045679,arxiv:0.60+book:0.40,inferred
S3,wikipedia_en,0.4774148868236911,wikipedia:1.00,near_direct
S4,arxiv,0.0296507724729403,arxiv:1.00,direct
S4,dm_mathematics,0.23673913549435646,arxiv:0.55+stackexchange:0.45,inferred
S4,enron_emails,0.37630787645015423,commoncrawl:0.80+stackexchange:0.20,inferred
S4,europarl,0.5052907941437356,wikipedia:0.60+commoncrawl:0.40,inferred
S4,freelaw,0.12223673330163119,book:0.55+arxiv:0.45,inferred
S4,github,0.48746805727787,github:1.00,direct
S4,gutenberg_pg_19,0.1979888830705601,book:1.00,near_direct
S4,hackernews,0.42598130195316664,stackexchange:0.55+commoncrawl:0.45,inferred
S4,nih_exporter,0.49217681645484135,wikipedia:0.55+commoncrawl:0.45,inferred
S4,philpapers,0.08856911118210722,arxiv:0.65+book:0.35,inferred
S4,pile_cc,0.3479230618770043,commoncrawl:1.00,near_direct
S4,pubmed_abstracts,0.11673354895023272,arxiv:0.85+wikipedia:0.15,inferred
S4,pubmed_central,0.1457611411093302,arxiv:0.80+wikipedia:0.20,inferred
S4,stackexchange,0.489847134742754,stackexchange:1.00,direct
S4,ubuntu_irc,0.4888955037568004,stackexchange:0.60+github:0.40,inferred
S4,uspto_backgrounds,0.09698601671198823,arxiv:0.60+book:0.40,inferred
S4,wikipedia_en,0.6102026156548898,wikipedia:1.00,near_direct
